,Title,Journal,Publication Date,Cited by,Abstract
26,New functional pavements for pedestrians and cyclists,Accident; analysis and prevention,2017 Aug,,"When many fields of pedestrian and cyclist safety have been extensively studied, the surfacing has long been left unquestioned, despite being developed for another mode of transport and being one of the main causes for falls and fall injuries. In this project new surfacing materials for pedestrian and cyclist safety have been produced. Focusing on augmenting previously largely disregarded parameters as impact absorption, comfort and visibility at the same time as avoiding deteriorating of crucial parameters as friction and wear resistance. Rubber content, binder type, and pigment addition have been varied and evaluated. The results demonstrate that by increasing rubber content of the mixtures the head injury criterion (HIC) value and injury risk can be decreased while maintaining frictional properties according to existing criteria. Assembly of test-lanes demonstrate that some developed materials experience lower flow and component separation than standard materials due to rubber addition, calling for further optimisation of construction procedure linked to content development. Initial trials on the test-lanes indicate that a polyurethane (PU) based material has high cycling comfort, visibility and can be modified with phosphorescence properties. For standard asphalt, impact absorption might be inflicted by modification of bitumen alone but is mostly augmented by rubber addition. The results also indicate that rubber content can decrease ice formation on the materials."
27,A fresh look at the costs of non-fatal consumer product injuries,Injury prevention : journal of the International Society for Child and Adolescent Injury Prevention,2015 Feb,,"Background:                       Products under the purview of the Consumer Product Safety Commission are involved in a large share of injuries and injury costs in the USA.                  Methods:                       This study analyses incidence data from the National Electronic Injury Surveillance System (NEISS) and cost data based on the Injury Cost Model, integrated with the NEISS. We examined the magnitude of non-fatal consumer product related injury, the distribution of products involved in these injuries and the cost of these injuries. We compared these findings with an earlier identical study from 2000.                  Results:                       In 2008-2010, 43.8% of the annual 30.4 million non-fatal injuries treated in hospital emergency departments involved consumer products. Of these consumer product related injuries, in 2009-2010, just three product groups accounted for 77% of the $909 billion annual cost: sports and recreation; home structures and construction materials; and home furnishings and fixtures. Sports and recreation was a leading cause of injury costs among 5-24-year-olds, particularly football, basketball, bicycling, baseball/softball and soccer. Since 1996, football surpassed basketball in becoming the number one cause of injury costs for children aged 10-19 years and the fifth ranked cause of product related injury costs overall. Among those over age 30 years, stairs and floors were a leading cause of consumer product related injury costs, in particular among those over age 70 years where they were responsible for over one-fifth of costs.                  Conclusions:                       The findings of this study highlight priority areas for intervention and generate questions for future research."
28,Bridge Plating Length-Unstable Pediatric Femoral Shaft Fractures,Journal of pediatric orthopedics,2016 Jun,,"The treatment of pediatric diaphyseal femur fractures, particularly length-unstable fractures, continues to be an area of controversy in patients from age 6 to skeletal maturity. Submuscular bridge plating is an alternative that allows for stable internal fixation while minimizing soft tissue disruption. We describe a surgical technique that has simplified both implantation and removal. This technique provides a stable construct in comminuted and unstable fracture patterns allowing for early mobilization with minimal complications."
29,Artificial Intelligence Image-Assisted Knee Ligament Trauma Repair Efficacy Analysis and Postoperative Femoral Nerve Block Analgesia Effect Research,World neurosurgery,2021 May,,"Objective:                       To analyze artificial intelligence image-assisted knee ligament injury repair and femoral nerve block analgesia after surgery.                  Methods:                       Data-driven and artificial intelligence methods were adopted to systematically study magnetic resonance imaging image reconstruction, processing, and analysis. First, knee ligament reconstruction and femoral arteriography images were studied. Using the prior knowledge that the full width at half maximum of the contrast image does not change with the resolution, a constrained data exploration algorithm was proposed combined with the iterative algorithm. The algorithm could reconstruct high-resolution images using the collected low-frequency data of k-space. The experimental data and results were simulated with the enhanced knee ligaments and femoral nerve angiography images. Combining the spatial continuity of knee ligaments and femoral nerve, a multilayer input segmentation network was designed. The multisupervised network was adopted for output and had good segmentation results for the knee ligaments and femoral nerve. On this basis, a multiparametric image input speaker net was proposed to detect knee ligament injuries.                  Results:                       The area under the receiver operating characteristic curve of the constructed model under the test set was 0.824, and the sensitivity and specificity were 0.800 and 0.836, respectively. The image was better than compressed sensing to reconstruct the image, which was more accurate for knee ligament and femoral nerve stenosis. The network also had higher sensitivity for knee joint trauma detection, which could aid clinicians. The postoperative femoral nerve block had a good detection effect, which could provide important information for clinical analgesia.                  Conclusions:                       The artificial intelligence image-assisted diagnosis system for analysis and processing of multiparametric magnetic resonance images is useful for clinical decision making, reducing physicians' labor intensity, improving efficiency, and lowering the rate of misdiagnosis."
30,Biomechanics of subdural hemorrhage in American football: review of the literature in response to rise in incidence,Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery,2014 Feb,,"The number of catastrophic head injuries recorded during the 2011 football season was the highest since data collection began in 1984--the vast majority of these cases were secondary to subdural hemorrhage (SDH). The incidence of catastrophic head injury continues to rise: the average yearly incidence from 2008 to 2012 was 238% that of the average yearly incidence from 1998 to 2002. Greater than 95% of the football players who suffered catastrophic head injury during this period were age 18 or younger. Currently, the helmet industry utilizes a standard based on data obtained at Wayne State University approximately 50 years ago that seeks to limit severity index--a surrogate marker of translational acceleration. In this manuscript, we utilize a focused review of the literature to better characterize the biomechanical factors associated with SDH following collisions in American football and discuss these data in the context of current helmet standard. Review of the literature indicates the rotational acceleration (RA) threshold above which the risk of SDH becomes appreciable is approximately 5,000 rad/s(2). This value is not infrequently surmounted in typical high school football games. In contrast, translational accelerations (TAs) experienced during even elite-level impacts in football are not of sufficient magnitude to result in SDH. This information raises important questions about the current helmet standard--in which the sole objective is limitation of TA. Further studies will be necessary to better define whether helmet constructs and quality assurance standards designed to limit RA will also help to decrease the risk of catastrophic head injury in American football."
31,"[Pseudarthrosis and construct failure after lumbar pedicle subtraction osteotomy : Influence of biomechanics, surgical technique, biology and avoidance strategies]",Der Orthopade,2018 Apr,,"There are numerous factors that can lead to construct failure and pseudarthrosis after corrective pedicle subtraction osteotomy (PSO) in the lumbar spine. Frequently, several factors are of relevance in these problematic cases. This article attempts to explain the surgical, biomechanical and biological aspects that should be understood in order to minimize the risk of pseudarthrosis and construct failure. It addresses technical varieties of the PSO procedure as well as the surgical technique, the choice of rod material and the design of multirod constructs. Biological reasons for pseudarthrosis and preventive strategies are discussed, as well as the possible contribution of low-grade infections to pseudarthrosis. The option of substituting a multilevel ALIF procedure for a PSO is another topic, as is the question of surgical indication and strategy."
32,Inhibition of Nf-ҝb prevents trauma-induced heterotopic ossification in rat model,Connective tissue research,2019 May,,"Purpose:                       To investigate the pathogenesis and find a better prophylactic method of acquired heterotopic ossification (HO).                  Materials and methods:                       In the first part, we designed the brain-traumatic/burn/tenotomy rat model and testified its efficacy as HO model. 44 rats were randomly divided into experimental group and control group. After operation, the bilateral tendons of 2 rats were collected at the 2nd, 3rd, 4th, 6th, 8th, and 10th weeks to determine the expression levels of p65. Additionally, the remaining rats were exposed to X-Ray examination at the 10th week. In the second part, 124 rats were randomly divided into four groups based on the administration dosage of Ammonium pyrrolidinedithiocarbamate (PDTC). Then, three rats of each group were euthanized every week in the first seven weeks to collect tendon to detect the expression levels of p65 by qRT-PCR and Western Blot. The remaining rats were exposed to X-Ray examination at the 10th week to assess the size of HO before being euthanized for HE staining.                  Results:                       The success rate of Brain-traumatic/Burn/Tenotomy model was 100%. Pharmacologic inhibition of Nf-ҝb signaling pathway by PDTC could significantly reduce the expression levels of p53 and the size of HO, and the reduction was most significant in the 0.6mg dosage group.                  Conclusions:                       Brain-traumatic/Burn/Tenotomy model was highly reliable HO model. Inhibition of Nf-ҝb signaling pathway by PDTC could significantly reduce HO formation, and the most effective concentration was 6 mg/ml for local injection."
33,"Characterization of Foreign-Born vs. Native-Born Worker Fatalities in Kentucky, 2001-2014",Journal of immigrant and minority health,2018 Apr,,"Information on foreign-born worker (FBW) and native-born worker (NBW) fatal injuries is scarce. The Kentucky Fatality Assessment and Control Evaluation program analyzed 2001-2014 worker fatality data. The Kentucky FBW fatality rate was double the US FBW and NBW rates, and 50% higher than the Kentucky NBW fatality rate. FBW average age at death was 38 years; NBW age was 47 years. FBW deaths occurred in construction (26%) and services (22%) industries, and transportation [28% (54% due to semi truck crashes)] and construction [26%(48% due to roofing, scaffolding, and ladder-related falls)] occupations; in contrast, NBW deaths occurred in services (22%), and transportation (18%) industries, and transportation (25%) and management (20%) occupations, and were due to exposures to inanimate mechanical forces (38%), and transport accidents (30%). Enhanced FBW cultural competent interventions and policies are needed to prevent FBW occupational injuries, and improve FBW workplace safety and health."
34,Shoulder Injury Related to Vaccine Administration (SIRVA): An Occupational Case Report,Workplace health & safety,2019 Oct,,"Transient shoulder pain is a common complaint following intramuscular vaccine administration into the deltoid. More severe vaccination-associated shoulder complications comprising of weakness and decreased range of motion are categorized under the construct ""shoulder injury related to vaccine administration"" (SIRVA) that subsumes both subjective and objective findings consistent with injury. We describe the presentation and management of a case of SIRVA in a health care worker following seasonal influenza vaccine administration as part of a hospital-based employee health program and review the relevant biomedical literature. We present a case from a single medical center. All data were collected by professionals in occupational health by interviewing, performing physical examinations, and reviewing medical records associated with the injured worker. Severe pain and limited range of shoulder motion developed following an influenza vaccination that was administered using a poorly positioned, larger than recommended needle. Magnetic resonance imaging (MRI) demonstrated moderate glenohumeral joint effusion and synovitis, with fluid accumulating in the subscapularis recess within 1 week of injury. At 8 months after initial injury, MRI showed persistent mild tenosynovitis of the long head of the biceps tendon, interval accumulation of a large glenohumeral joint effusion, and infraspinatus tendinitis with subjacent reactive bone marrow edema. The affected worker experienced work restrictions but had no complete lost workdays to date due to the injury. Occupationally related SIRVA is a preventable adverse event that should be considered in workplace vaccine administration programs, and appropriate education and training provided to vaccine administrators to address this."
35,Facilitators and Barriers to the Implementation of iSPRINT: A Sport Injury Prevention Program in Junior High Schools,Clinical journal of sport medicine : official journal of the Canadian Academy of Sport Medicine,2020 May,,"Objectives:                       Sport injury is the leading cause of hospitalization in Canadian youth and represents a high burden to the health care system. This study aims to describe the facilitators and barriers to implementation of a sport injury prevention program in junior high school physical education (known as iSPRINT), previously shown to reduce the risk of sport-related injury in youth (age, 11-15 years).                  Methods:                       Focus group data were mapped onto constructs from the Consolidated Framework for Implementation Research (CFIR). Four schools that implemented iSPRINT participated in this study. Forty-seven key stakeholders (teachers, students, principals) participated in 9 semistructured focus groups and 4 interviews. The CFIR was used to guide the focus group discussions, data coding, and analysis using a qualitative content analysis approach.                  Results:                       Of the 22 applicable CFIR constructs, 16 were identified in the transcripts. The most significant facilitators to successful implementation efforts included evidence strength and quality, adaptability, implementation climate, culture, and having a high level of compatibility facilitated successful implementation efforts. Barriers to implementation included intervention complexity, planning, and readiness for implementation. Constructs that acted as both a facilitator and a barrier, depending on the context, were self-efficacy, execution, and individual identification with the organization.                  Conclusions:                       Participants in this study reported positive attitudes about implementing iSPRINT, citing evidence strength, adaptability, and constructs related to the organizational setting that contributed to successful implementation. Potential improvements include modifying certain program components, decreasing the number of components, and reducing the equipment required."
36,US Department of Defense Warfighter Brain Health Initiative: Maximizing performance on and off the battlefield,Journal of the American Association of Nurse Practitioners,2020 Nov,,"The US Department of Defense (DoD) recognizes the importance of warfighter brain health with the establishment of the Warfighter Brain Health Initiative and Strategy. For a warfighter, also known as a service member, to perform at their highest level, cognitive and physical capabilities must be optimized. This initiative addresses brain health, brain exposures, to include blast overpressure exposures from weapons and munitions, traumatic brain injury (TBI), and long-term or late effects of TBI. The DoD's pursuit of maximal strength hinges on the speed of decisions (neurocognitive) and detection of brain injury when it occurs. The strategy creates a framework for deliberate, prioritized, and rapid development of end-to-end solutions for warfighter brain health. Through this strategy, DoD is addressing the needs of our service members, their families, line leaders/commanders, and their communities at large. The implications of this initiative and strategy are noteworthy for practitioners because the DoD Warfighter Brain Health construct lends itself to nurse practitioner engagement in clinical practice, patient education, policy development, and emerging research."
37,Standards of external fixation in prolonged applications to allow safe conversion to definitive extremity surgery: the Aachen algorithm for acute ex fix conversion,Injury,2015 Sep,,"External fixation has become an important tool in orthopedic surgery. Technology has improved the design and material as well as the construct of the fixator. As most patients are converted from external fixation to definite stabilization during later clinical course, prevention of complications such as infection is of high importance. Based on the current literature, principles of temporary external fixation were summarized. We focused on minimizing the risk of infection and introduce a standardized algorithm how to proceed when converting from external to internal fixation, which also was examined for effectiveness."
38,Evaluation of nature and extent of injuries during Dahihandi festival,Journal of postgraduate medicine,2012 Oct-Dec,,"Background:                       Injuries related to the Hindu festival of Dahihandi where a human pyramid is formed and a pot of money kept at a height is broken, celebrated in the state of Maharashtra, have seen a significant rise in the past few years. The human pyramid formed is multi-layered and carries with it a high risk of injury including mortality.                  Aims:                       To evaluate the nature, extent and influencing factors of injuries related to Dahihandi festival.                  Settings and design:                       We present a retrospective analysis of patients who presented in a tertiary care center with injuries during the Dahihandi festival in the year 2010.                  Materials and methods:                       124 patients' records were evaluated for timing of injury, height of the Dahihandi pyramid, position of the patient in the multi-layered pyramid, mode of pyramid collapse and mechanism of an injury. A binary regression logistic analysis for risk factors was done at 5% significance level.                  Statistical analysis:                       Univariate and multi-variate binary logistic regression of the risk factors for occurrence of a major or minor injury was done using Minitab™ version 16.0 at 5% significance.                  Results:                       Out of 139 patients presented to the center, 15 were not involved directly in the formation of pyramid, rest 124 were included in the analysis. A majority of the patients were above 15 years of age [110 (83.6%)]. 46 (37.1%) patients suffered major injuries. There were 39 fractures, 3 cases of chest wall trauma with 10 cases of head injuries and 1 death. More than half of the patients [78 (56.1%)] were injured after 1800 hours. 73 (58.9%) injured participants were part of the pyramid constructed to reach the Dahihandi placed at 30 feet or more above the ground. 72 (51.8%) participants were part of the middle layers of the pyramid. Fall of a participant from upstream layers on the body was the main mechanism of injury, and majority [101 (81.5%)] of the patients suffered injury during descent phase of the pyramid.                  Conclusions:                       There is a considerable risk of serious, life-threatening injuries inherent to human pyramid formation and descent in the Dahihandi festival. Safety guidelines are urgently needed to minimize risk and prevent loss of human life."
39,A 10-year review of sports-related spinal injuries,Irish journal of medical science,2011 Dec,,"Introduction:                       The incidence of traumatic spinal cord injury varies in different countries from 2.5 to 57.8 per million per annum, with sport accounting for 8-12.7% of these injuries. Spinal injuries associated with recreational sport often result in long-term permanent disability in otherwise active individuals.                  Materials and methods:                       The aetiology, pattern and mechanism of the 196 sports-related spinal injuries treated in the National Spinal Injuries unit in Ireland from 1993 to 2003 is reviewed in this article.                  Results:                       Sports-related spinal injuries accounted for 11% of all spinal injury admissions. There were 145 (74%) males and 51 (26%) females, with an average age of 30.2 years (range 14-72 years). The most common sport responsible for a spinal injury was equestrian events (41.8%), rugby (16.3%), diving (15.3%), Gaelic football and hurling (9.6%), cycling (4.2%), and miscellaneous (12.7%). Injury distribution was cervical spine (118 patients, 60%), thoracic (41 patients, 21%), lumbar spine (37 patients, 19%). In 18 patients (9.25%) more than one region was affected. In 78 patients (40%) more than one vertebral level was affected. On admission 71 patients (36%) had a neurological deficit with 46 patients (65%) incomplete and 25 (35%) complete, of which 6 patients (23%) were paraplegic and 19 (77%) were tetraplegic.                  Conclusion:                       Sport is an important cause of spinal injury among young people in Ireland. This study contributes to our understanding of these injuries aetiology, pattern and mechanism of injury and allows constructive recommendations for injury prevention and management."
40,Steel rod impalement injuries involving the spine: A case report and literature review,Ulusal travma ve acil cerrahi dergisi = Turkish journal of trauma & emergency surgery : TJTES,2019 Jul,,"Steel rod impalements, mostly experienced by construction workers due to falls from heights, are known entities, but only some individuals unfortunately suffer spinal cord injury. The management of the spine involved injuries is challenging due to the lack of guidelines, various clinical presentations resulting from different trajectories, and high risk of infection. We report a case of steel rod impalement involving the spinal canal and review the literature to enhance the management strategies and to identify the risk factors for possible complications, particularly infection. A 37-year-old male construction worker presented to our emergency department due to falling onto a concrete reinforcing steel rod that penetrated through his perineum to the L4 vertebra. Examination revealed paralysis and sensory loss of the left foot. The rod was removed in the operating room (closed removal) under general anesthesia, followed by laparotomy. Rectal laceration was primarily repaired, and colostomy was performed. In a separate session, laminectomy was performed. At 3 months post-discharge, the patient was ambulatory with armrest based on the same motor examination performed on presentation This case is a good example of careful preoperative planning, multidisciplinary involvement, and appropriately sequenced interventions resulting in an acceptable outcome for an injury with high morbidity and mortality and demonstrates the feasibility and potential benefits of closed removal of the rod in an operating room just before laparotomy. The presence of an intestinal perforation increases the infection risk, but infections can still be prevented in this setting. Shorter time intervals between the incidence and surgery may reduce the infection rate."
41,"Current trends in pedicle screw stimulation techniques: lumbosacral, thoracic, and cervical levels",The Neurodiagnostic journal,2012 Jun,,"Unequivocally, pedicle screw instrumentation has evolved as a primary construct for the treatment of both common and complex spinal disorders. However an inevitable and potentially major complication associated with this type of surgery is misplacement of a pedicle screw(s) which may result in neural and vascular complications, as well as impair the biomechanical stability of the spinal instrumentation resulting in loss of fixation. In light of these potential surgical complications, critical reviews of outcome data for treatment of chronic, low-back pain using pedicle screw instrumentation concluded that ""pedicle screw fixation improves radiographically demonstrated fusion rates;"" however the expense and complication rates for such constructs are considerable in light of the clinical benefit (Resnick et al. 2005a). Currently, neuromonitoring using free-run and evoked (triggered) electromyography (EMG) is widely used and advocated for safer and more accurate placement of pedicle screws during open instrumentation procedures, and more recently, guiding percutaneous placement (minimally invasive) where the pedicle cannot be easily inspected visually. The latter technique, evoked or triggered EMG when applied to pedicle screw instrumentation surgeries, has been referred to as the pedicle screw stimulation technique. As concluded in the Position Statement by the American Society of Neurophysiological Monitoring (ASNM), multimodality neuromonitoring using free-run EMG and the pedicle screw stimulation technique was considered a practice option and not yet a standard of care (Leppanen 2005). Subsequently, the American Association of Neurological Surgeons/Congress of Neurological Surgeons (AANS/CNS) Joint Section on Disorders of the Spine and Peripheral Nerves published their ""Guidelines for the Performance of Fusion Procedures for Degenerative Disease of the Lumbar Spine"" (Heary 2005, Resnick et al. 2005a, Resnick et al. 2005b). It was concluded that the ""primary justification"" of intraoperative neuromonitoring""... is the perception that the safety and efficacy of pedicle screw fixation are enhanced..."" (Resnick et al. 2005b). However in summarizing a massive (over 1000 papers taken from the National Library of Medicine), contemporary, literature review spanning nearly a decade (1996 to 2003), this invited panel (Resnick et al. 2005b) recognized that the evidence-based documents contributing to the parts related to pedicle screw fixation and neuromonitoring were ""... full of potential sources of error ..."" and lacked appropriate, randomized, prospective studies for formulating rigid standards and guidelines. Nevertheless, current trends support the routine use and clinical utility of these neuromonitoring techniques. In particular free-run and triggered EMG have been well recognized in numerous publications for improving both the accuracy and safety of pedicle screw implantation. Currently, treatment with pedicle screw instrumentation routinely involves all levels of the spine - lumbosacral, thoracic, and cervical. Significant historical events, various neuromonitoring modalities, intraoperative alarm criteria, clinical efficacy, current trends, and caveats related to pedicle screw stimulation along the entire vertebral column will be reviewed."
42,What is the role of TPE in management of patients at risk or with pressure ulcer as of 2012? Developing French guidelines for clinical practice,Annals of physical and rehabilitation medicine,2012 Oct,,"Introduction:                       Pressure ulcer (PU) is a common complication in chronic affection, especially neurological disorders and diseases commonly diagnosed in the elderly. For a long period of time, the prevention of skin lesions was taught only in an empirical manner. The development of therapeutic patient education (TPE) sheds a new light on care management for patients with chronic pathologies.                  Objectives:                       Determine the place of TPE in persons at risk of and/or already suffering from pressure ulcer (PU) as of 2012.                  Methods:                       The methodology used is the one promoted by SOFMER, including: a systematic review of the literature with a query of the PASCAL Biomed, PubMed and Cochrane Library databases for data from 2000 through 2010; a compendium of prevailing professional practices and advice from a committee of experts.                  Results:                       The review of the literature found six studies including four controlled trials in patients with chronic neurological impairments (most of them with spinal cord injury). No studies were found regarding the elderly. The level of evidence for efficacy in persons with spinal cord injury (SCI) is moderate. The clinical practice study focuses on programs currently underway, dedicated to SCI patients or elderly populations.                  Discussion:                       The approach proposed through TPE has its role in a strategy aimed at preventing PU in persons at chronic risk of developing PU. The educational objectives and techniques used must be adapted to the clinical and psychological context and are debated in this review. The co-construction of programs, recommended in the official texts on therapeutic education in France, should help to tailor these programs to the patients' needs.                  Conclusion:                       TPE is relevant in care management or prevention of PU in persons at chronic risk, patients with spinal cord injury (Grade B) or elderly subjects (Grade C)."
43,Inpatient Data of Occupational Burn Injuries Treated at a Tertiary Burn Center,Journal of burn care & research : official publication of the American Burn Association,2020 Feb 19,,"Occupational burns are among the important causes of work-related injuries. We aimed to investigate the epidemiology and reasons of occupational burns and thereby to emphasize preventive measures. Between January 2017 and December 2018, the data of major occupational burn injury patients admitted to our burn center were evaluated in this cross-sectional retrospective study. During the study period 342 patients older than 16 years were admitted to the burn center. Among them 80 patients with occupational burns (23.4%) were identified. The mean age of the patients was 34.73 ± 12.3 years. Seventy-eight patients (97.5%) were male. Electrical burns and flame burns were the two leading type of occupational burns. The most common occupation of our patients was construction work. Dangerous behavior, carelessness, lack of protective equipment, and failure to follow instructions were causes of injury. Only 14 patients (17.5%) experienced unavoidable accident. Thirty-seven patients (46.3%) worked on temporary basis. Occupational experience was under 5 years in majority of the cases (62.5%). For the occupational burns the percentage of burned TBSA was 17.08 ± 14.5 (1-60) and the length of hospital stay was 23.94 ± 21.9 days (2-106). There were no significant differences between occupational and nonoccupational burn injuries considering TBSA, total length of hospital stay, and complications (P > .05). Occupational burn injuries are common in less experienced and younger workers. Therefore, recognition of the problem and maintaining awareness is important. In order to prevent occupational accidents and burns, occupational health and safety rules must be obeyed."
44,The business cycle and the incidence of workplace injuries: evidence from the U.S.A,Journal of safety research,2011 Feb,,"Introduction:                       The current study explored the association between the business cycle and the incidence of workplace injuries to identify cyclically sensitive industries and the relative contribution of physical capital and labor utilization within industries.                  Method:                       Bureau of Labor Statistics nonfatal injury rates from 1976 through 2007 were examined across five industry sectors with respect to several macroeconomic indicators. Within industries, injury associations with utilization of labor and physical capital over time were tested using time series regression methods.                  Results:                       Pro-cyclical associations between business cycle indicators and injury incidence were observed in mining, construction, and manufacturing but not in agriculture or trade. Physical capital utilization was the highest potential contributor to injuries in mining while labor utilization was the highest potential contributor in construction. In manufacturing each effect had a similar association with injuries.                  Conclusion:                       The incidence of workplace injury is associated with the business cycle. However, the degree of association and the mechanisms through with the business cycle affects the incidence of workplace injuries was not the same across industries.                  Impact on industry:                       The results suggest that firms in the construction, manufacturing, and mining industries should take additional precautionary safety measures during cyclical upturns. Potential differences among industries in the mechanisms through which the business cycle affects injury incidence suggest different protective strategies for those industries. For example, in construction, additional efforts might be undertaken to ensure workers are adequately trained and not excessively fatigued, while safety procedures continue to be followed even during boom times."
45,The benefits of an additional worker are task-dependent: assessing low-back injury risks during prefabricated (panelized) wall construction,Applied ergonomics,2012 Sep,,"Team manual material handling is a common practice in residential construction where prefabricated building components (e.g., wall panels) are increasingly used. As part of a larger effort to enable proactive control of ergonomic exposures among workers handling panels, this study explored the effects of additional workers on injury risks during team-based panel erection tasks, specifically by quantifying how injury risks are affected by increasing the number of workers (by one, above the nominal or most common number). Twenty-four participants completed panel erection tasks with and without an additional worker under different panel mass and size conditions. Four risk assessment methods were employed that emphasized the low back. Though including an additional worker generally reduced injury risk across several panel masses and sizes, the magnitude of these benefits varied depending on the specific task and exhibited somewhat high variability within a given task. These results suggest that a simple, generalizable recommendation regarding team-based panel erection tasks is not warranted. Rather, a more systems-level approach accounting for both injury risk and productivity (a strength of panelized wall systems) should be undertaken."
46,Analysis of factors affecting injury severity for riders or occupants of all-terrain vehicles and golf carts involved in police-reported crashes,Accident; analysis and prevention,2019 Dec,,"In recent years, the popularity of all-terrain vehicles (ATVs) in the United States (US) has increased, and the number of ATV driver and passenger deaths have also increased substantially in the last few decades. Riders or occupants of ATVs as well as golf carts are particularly vulnerable to injury, not only due to the lack of protection and safety equipment offered by their vehicles, but also the propensity for ejection in the event of a crash. Given the vulnerability of these road users, it's critical to understand factors which may affect injury severity to plan effective countermeasures aimed at reducing these injuries and fatalities. To better understand factors affecting the injury severity of ATV and golf cart riders or occupants involved in police-reported crashes, this study presents an analysis using six years of crash data from the US state of Arizona. Over the analysis period, there were 1769 drivers/passengers of these vehicle types involved in police-reported crashes. Of these occupants/riders, 67.7% were injured or killed as a result of the crash; a proportion significantly higher than police-reported crashes involving most other vehicle types, exhibiting the need to examine factors leading to these injuries and fatalities. In order to analyse factors affecting the injury severity of ATV and golf cart occupants/riders, a random parameters (RP) ordered logit statistical model was developed, which was most appropriate given the ordered nature of injury-severity data. Several person- vehicle- roadway- and environmental-related variables were found to significantly affect the injury severity of riders or occupants of ATVs and golf carts. Given the vulnerability of these road users, it's important for transportation agencies to explore effective countermeasures aimed at reducing the severity of crashes involving these vehicle types. The results of this study provide important insights which can assist in developing effective engineering-, enforcement-, education, or policy-related countermeasures."
47,Characterization of load reduction while lifting drywall using an unpowered drywall lifting device,"Work (Reading, Mass.)",2018,,"Background:                       Drywall installation has an injury rate four times that of the construction industry average. Workers are exposed to hazards related to slips, falls, and falling objects, in addition to the large and awkward loads they must carry. Drywall sheets can weigh more than 100 lb. and contribute to disabling musculoskeletal injuries of the shoulders and back.                  Objective:                       In this study, an unpowered lift assist device was developed to manage the load of a drywall sheet during the installation process.                  Methods:                       In order to measure the effect of the lift assist device, a laboratory study with 10 healthy male participants performing two lifts, lifting from ground to erect and lifting from erect to ceiling, with and without the help of the device, was performed. These lifts were chosen to simulate a drywall installer's frequent lifting motions. Participants were fitted with electromyography (EMG) on the erector spinae, latissimus dorsi, rectus abdominus, and external oblique muscles to measure activation. Mean, peak, and effort data for the lifting exercises were extracted and compared to the unassisted lift.                  Results:                       The lift assist device resulted in a reduction in mean EMG signal of 69% average over both lifts and muscle groups. Peak EMG and effort (i.e., area under the curve) were reduced by 78% and 75%, respectively.                  Conclusions:                       These data demonstrate the effectiveness of the device in reducing compressive back loads during drywall installation, which warrants future development."
48,Anatomy of Mine Rescue Teams' Casualty Incidents: A Basis for Medical Emergency Preparedness and Injury Prevention,Disaster medicine and public health preparedness,2019 Aug,,"Objective:                       Mine rescue teams bear a high risk of injury. To improve medical emergency preparedness and injury prevention, this work analyzed the causes and severity of mine rescue teams' casualty incidents, the primary injuries, and the link between the causes and the occurrences of the casualty incidents.                  Methods:                       A total of 81 cases from 1953 to 2013 were used to analyze the casualty incidents of mine rescue teams based on the frequency of accidents. A panel with 4 rescue experts was set up to ensure the accuracy of the analysis.                  Results:                       The 81 casualty incidents occurred in 7 types of rescue work and were due to 6 causes. Organizational and personal factors were the leading cause, followed by rescue skill and equipment factors. Problems with decision-making and command have gradually become the primary inducement of casualty incidents in recent years, with an average death toll reaching up to 6 to 7 people. The main injuries causing death to team members were blast injury, burns, poisoning, suffocation, blunt trauma, and overwork injury. Some of the injured died because of medical emergency response failure.                  Conclusion:                       The construction of emergency medical teams and the preparedness of disaster medicine need to be improved to reduce the mortality of the injured team members. Actions according to the causes of casualty incidents should be adopted for injury prevention. (Disaster Med Public Health Preparedness. 2019;13:695-699)."
49,A study of trade-specific occupational ergonomics considerations in the U.S. construction industry,"Work (Reading, Mass.)",2012,,"Objective:                       The aim of this survey study was to identify trade-specific ergonomic issues, and discuss practical solutions to reduce work-related musculoskeletal disorders (WMSDs) and injuries in the construction industry.                  Method:                       Thirty-two construction firms in the Midwestern United States completed the final survey questionnaire. Twelve different construction skilled trades participated included: general contractor, road, heavy and highway, concrete, electrical, carpentry, landscaping, plumbing, roofing, steel erection, street lighting/traffic signal, and utility construction. Total workforce of the participating companies numbered 11,118 employees.                  Result:                       More than 90% of the participants in the survey had a written safety program; however, the majority of the firms did not have a trade-specific ergonomic intervention. The survey revealed that construction constructors perceived safety (worker well-being) as a high priority in their company. This study suggested that construction skilled-trade jobs the construction worker to employ trade-specific hand tools and working body positions that may contribute to different types of WMSD risks, body parts injured, and injury sources. Possible practical construction trade-specific ergonomic solutions might be considered includinge: selection of ergonomic hand tools, reduction of weight of construction materials, and promotion of wellness exercises.                  Conclusion:                       This paper may imply that need for more trade-specific ergonomics program elements to help alleviate the work-related musculoskeletal problems in the construction field."
