,Title,Journal,Abstract
30,Constraints of coal mining safety management efficiency,"Work (Reading, Mass.)","Background:                       Investigation of the safety management efficiency in a coal mine aims to improve its safety management level thus ensuring coal mining safety. However, the safety management efficiency is affected by many factors especially for those coal mines operated underground. Furthermore, the constraint factors that are difficult to be identified and eliminated may impede safety management efficiency.                  Objective:                       This work aims to explore the constraints affecting safety management efficiency through a mathematical model accompanied by some effective measures guided by the theory of constraint (TOC).                  Methods:                       An index system for coal mining safety management efficiency (CMSME) is first established. Then a mathematical model roughly identifying the constraint factors is constructed. The principle of the proposed model is a comparison with the changes of the ratio of integrated CMSME and the ratio of each impact factor over a certain period. Thus, a constraint factor may be one whose ratio changes at a slower rate than that of the integrated CMSME. Following this, some measures are adopted to identify one, or more, real constraints. Finally, the constraints may be broken by internal, or external, means.                  Results:                       A case study from Quandian coal mine verified the proposed method: the constraints affecting CMSME could be identified and broken through during the production. This research currently is applied to coal mining activities in a few coal mines, and it will be widely used in the future.                  Conclusions:                       This paper provides a novel method investigating the constraints affecting CMSME and breaking through them. The case study shows that breaking through constraints during the production is beneficial to CMSME. Furthermore, a coal mine with a high CMSME index may still, at some time, have one, or more, bottleneck constraints."
31,Strategies to reduce safety violations for working from heights in construction companies: study protocol for a randomized controlled trial,BMC public health,"Background:                       Safety measures should be applied to reduce work-related fatal and non-fatal fall injuries. However, according to the labor inspectorate, more than 80% of Dutch construction sites violate safety regulations for working from heights. To increase compliance with safety regulations, employers and workers have to select, implement and monitor safety measures. To facilitate this behavioral change, stimulating knowledge awareness and personalized feedback are frequently advocated behavior change techniques. For this study, two behavior change strategies have been developed in addition to the announcement of safety inspections by the labor inspectorate. These strategies consist of 1) face-to-face contacts with safety consultants and 2) direct mail with access to internet facilities. The objective of this study is to evaluate the effectiveness of these two strategies on the safety violations for working from heights, the process and the cost measures.                  Methods/design:                       This study is a block randomized intervention trial in 27 cities to establish the effects of the face-to-face guidance strategy (N = 9), a direct mailing strategy (N = 9) and a control condition of no guidance (N = 9) on safety violations to record by labor inspectors after three months. A process evaluation for both strategies will be performed to determine program implementation (reach, dose delivered and dose received), satisfaction, knowledge and perceived safety behavior. A cost analysis will be performed to establish the financial costs for both strategies. The present study is in accordance with the CONSORT statement.                  Discussion:                       This study increases insight into performing practice-based randomized controlled trials. The outcome will help to evaluate the effect of two guidance strategies on safety violations. If these strategies are effective, implementation of these strategies through the national institute of safety and health or labor inspectorate can take place to guide construction companies in complying with safety regulations.                  Trial registration:                       NTR 4298 on 29-nov-2013."
32,Fatal accidents in nighttime vs. daytime highway construction work zones,Journal of safety research,"Introduction:                       Awareness about worker safety in nighttime construction has been a major concern because it is believed that nighttime construction creates hazardous work conditions. However, only a few studies provide valuable comparative information about accident characteristics of nighttime and daytime highway construction activities.                  Method:                       This study investigates fatal accidents that occurred in Illinois highway work zones in the period 1996-2001 in order to determine the safety differences between nighttime and daytime highway construction. The lighting and weather conditions were included into the study as control parameters to see their effects on the frequency of fatal accidents occurring in work zones.                  Results:                       According to this study, there is evidence that nighttime construction is more hazardous than daytime construction. The inclusion of a weather parameter into the analysis has limited effect on this finding.                  Impact on industry:                       The study justifies establishing an efficient work zone accident reporting system and taking all necessary measures to enhance safety in nighttime work zones."
33,Safety climate and productivity improvement of construction workplaces through the 6S system: mixed-method analysis of 5S and safety integration,International journal of occupational safety and ergonomics : JOSE,"The purpose of this study is to develop a framework for integrating essential safety practices (visualization, job safety analysis and plan-do-check-act) into 5S steps and validate it. First, 18 interviews with a snowball sample of construction workers, safety representatives, supervisors and site and project managers were conducted. A grounded theory method was utilized to code the interview data. The results revealed that the studied construction companies implement a systematic safety-based methodology to minimize construction work injuries. Second, to validate the proposed framework, a pre-test and post-test study was applied. The case and control groups (26 participants) answered a 6S questionnaire before the 6S system and 1 month after implementation. The results revealed that safety climate and productivity significantly increased for the case group but reduced for the control group during time."
34,The role of production and teamwork practices in construction safety: a cognitive model and an empirical case study,Journal of safety research,"Problem:                       In construction, the challenge for researchers and practitioners is to develop work systems (production processes and teams) that can achieve high productivity and high safety at the same time. However, construction accident causation models ignore the role of work practices and teamwork. This study investigates the mechanisms by which production and teamwork practices affect the likelihood of accidents.                  Method:                       The paper synthesizes a new model for construction safety based on the cognitive perspective (Fuller's Task-Demand-Capability Interface model, 2005) and then presents an exploratory case study. The case study investigates and compares the work practices of two residential framing crews: a 'High Reliability Crew' (HRC)--that is, a crew with exceptional productivity and safety over several years, and an average performing crew from the same company.                  Results:                       The model explains how the production and teamwork practices generate the work situations that workers face (the task demands) and affect the workers ability to cope (capabilities). The case study indicates that the work practices of the HRC directly influence the task demands and match them with the applied capabilities. These practices were guided by the 'principle' of avoiding errors and rework and included work planning and preparation, work distribution, managing the production pressures, and quality and behavior monitoring.                  Summary:                       The Task Demand-Capability model links construction research to a cognitive model of accident causation and provides a new way to conceptualize safety as an emergent property of the production practices and teamwork processes. The empirical evidence indicates that the crews' work practices and team processes strongly affect the task demands, the applied capabilities, and the match between demands and capabilities.                  Impact on industry:                       The proposed model and the exploratory case study will guide further discovery of work practices and teamwork processes that can increase both productivity and safety in construction operations. Such understanding will enable training of construction foremen and crews in these practices to systematically develop high reliability crews."
35,Relationship between patient safety culture and safety performance in nursing: The role of safety behaviour,International journal of nursing practice,"Aim:                       The aim of this work is to test the mediator role of patient safety behaviour between safety culture and safety performance among nurses.                  Methods:                       This cross-sectional study was carried out between September and December 2017 in the nursing units of 10 primary hospitals, two secondary hospitals and two tertiary hospitals in Anhui Province, China.                  Results:                       The study participants comprised 79 RNs from primary hospitals, 147 RNs from secondary hospitals and 242 RNs from tertiary hospitals. Most were female (97.6%) and married (73.1%), and their ages ranged from less than 25 years to retirement age. The sample included nurses working in several departments, including medicine (27.1%), surgery (14.3%), emergency (11.5%) and ICU (9%). Structural equation model analysis results showed that espoused values directly affected safety performance, and practised values affected safety performance through safety behaviour.                  Conclusion:                       Our hypothetical model noted that safety behaviour is a positive mediating factor of practised safety values affecting safety performance, suggesting that Chinese nursing managers should construct a patient safety culture that is guided and driven by appropriate values, which will ultimately be externalized as nurses' daily behaviour."
36,Work-arounds in health care settings: Literature review and research agenda,Health care management review,"Background:                       As health care professionals seek to balance technological and regulatory demands with the need to provide patient-centered care, all in an efficient and cost-effective manner, they may see a greater need to improvise or work around intended work practices. Health care professionals acknowledge widespread use of work-arounds, and the literature documents their prevalence and influence on performance. Despite their importance, few studies have focused exclusively on work-arounds. This suggests a key area of need in the research, particularly because work-arounds are frequently cited in the context of serious patient safety consequences.                  Purpose:                       The purpose of this article is to review the existing literature concerning work-arounds to elucidate the definition and nature of work-arounds, how work-arounds can be differentiated from similar constructs (e.g., errors, mistakes, and deviance), and the potential causes of work-arounds and to explore potential consequences of work-arounds in health care settings.                  Approach:                       We conducted a systematic review of the literature concerning work-arounds to develop themes concerning the nature of work-arounds and ideas for future research on the topic.                  Implications for practice:                       In this article, we develop links between work-arounds and potential outcomes, particularly safety outcomes. Moreover, we discuss the manner in which open discussion can allow work-arounds to facilitate work process improvement and the role that climate and culture play in reducing work-arounds."
37,Barriers of Occupational Safety Implementation in Infrastructure Projects: Gaza Strip Case,International journal of environmental research and public health,"Infrastructure projects are the foundation for essential public services and have an influential position in societal development. Although the role of infrastructure projects is substantial, they can involve complexities and safety issues that lead to an unsafe environment, and which impacts the project key stakeholders. Therefore, this study aimed to evaluate the barriers to implementing occupational safety in infrastructure projects in the Gaza Strip, which cause serious threats and reduce project performance. To evaluate the barriers, 39 items were highlighted and modified as per the construction context and environment, and which later were distributed in the form of a questionnaire, to get feedback from consultants and contractors. The analysis shows that in the safety policy barriers group, consultants and contractors both ranked the item ""a contractor committed to an occupational safety program is not rewarded"" first. In the management barriers group, consultants and contractors both ranked the item ""safety engineer does not have significant powers, such as stopping work when needed"" in the first place. In the behavior and culture barriers group, consultants and contractors both ranked the item ""workers who are not committed to occupational safety are not excluded"" in the first place. Overall, both consultants and contractors shared the same viewpoint in classifying the barriers in the working environment. The outcome of this study is beneficial for Palestinian construction industry policymakers, so they can monitor the highlighted barriers in on-going infrastructure projects and can modify the safety guidelines accordingly."
38,A preliminary ergonomic analysis of the MRI work system environment: Implications and recommendations for safety and design,"Radiography (London, England : 1995)","Introduction:                       The MRI work system environment in acute hospitals poses a significant risk of harm to patients, healthcare practitioners and others, but knowledge of hazards and potential design improvements are limited as safety research is lacking. The aim of this exploratory study was to understand how the discipline of Human Factors and Ergonomics (HFE) can support the understanding and improvement of safety and performance of MRI working environments.                  Methods:                       A multi-method study of two MRI units in Scottish acute hospital settings based on Human Factors and Ergonomics (HFE) principles was undertaken in May 2016. Data collection sources included published literature, local and national safety incident data, site observations and staff interviews which were triangulated and subject to a content analysis.                  Results:                       A diverse range of system-wide hazards were highlighted which impact on the complexity of MRI work, patient and staff safety and system performance (e.g. adequacy of training and procedures, interactions with equipment, organisation of work). Preliminary recommendations were made to improve system design related to national approaches to safety (e.g. equipment procurement; staff training and procedural standards); interaction design and standardisation (e.g. physical design and barriers, staff uniforms, checking processes); and introduction of MRI passports for patients.                  Conclusions:                       This exploratory study suggests the need for national co-ordination and standardisation of MRI safety management strategies, based on safety science and HFE evidence and approaches to improve system design and reduce risk to patients, staff and others. A series of provisional recommendations are offered for consideration."
39,Correlation of causal factors that influence construction safety performance: A model,"Work (Reading, Mass.)","Background:                       The construction sector has presented positive development regarding the decrease in occupational accident rates in recent years. Regardless, the construction sector stands out systematically from other industries due to its high number of fatalities.                  Objective:                       The aim of this paper is to deeply understand the causality of construction accidents from the early design phase through a model.                  Methods:                       This study reviewed several research papers presenting various analytical models that correlate the contributing factors to occupational accidents in this sector. This study also analysed different construction projects and conducted a survey of design and site supervision teams.                  Results:                       This paper proposes a model developed from the analysis of existing ones, which correlates the causal factors through all the construction phases.                  Conclusions:                       It was concluded that effective risk prevention can only be achieved by a global correlation of causal factors including not only production ones but also client requirements, financial climate, design team competence, project and risk management, financial capacity, health and safety policy and early planning. Accordingly, a model is proposed."
40,A qualitative investigation of factors influencing unsafe work behaviors on construction projects,"Work (Reading, Mass.)","Background:                       Unsafe behavior is an important component in the chain of accident occurrences, and thus plays a key role in the accident prevention programs in construction sites.                  Objective:                       The aim of this qualitative research is to study the perception of frontline workers, supervisors, and managers about the preconditions of and contributing factors to unsafe behaviors in civil engineering projects.                  Methods:                       Field observation, in-depth interview, and focus group discussion are conducted with 113 informants from various mega projects during a 2-year time period. Fishbone diagram is applied to describe a conceptual model.                  Results:                       The results point to fourteen themes within four categories of the conceptual model - general management, organizational factors, safety supervision and management, and individual characteristics.                  Conclusions:                       General management and organizational culture were introduced as important preconditions and contributing factors resulting in human error and unsafe behavior in the construction sites. The fishbone diagram reveals the sequence and interaction of preconditions and contributing factors. The key contributing factors and their influences on unsafe behaviors are discussed along with recommendations for future directions."
41,Improving safety climate through a communication and recognition program for construction: a mixed methods study,"Scandinavian journal of work, environment & health","Objectives:                       This study aimed to evaluate the efficacy of a safety communication and recognition program (B-SAFE), designed to encourage improvement of physical working conditions and hazard reduction in construction.                  Methods:                       A matched pair cluster randomized controlled trial was conducted on eight worksites (four received the B-SAFE intervention, four served as control sites) for approximately five months per site. Pre- and post-exposure worker surveys were collected at all sites (N=615, pre-exposure response rate of 74%, post-exposure response rate of 88%). Multi-level mixed effect regression models evaluated the effect of B-SAFE on safety climate as assessed from surveys. Focus groups (N=6-8 workers/site) were conducted following data collection. Transcripts were coded and analyzed for thematic content using Atlas.ti (version 6).                  Results:                       The mean safety climate score at intervention sites, as measured on a 0-50 point scale, increased 0.5 points (1%) between pre- and post-B-SAFE exposure, compared to control sites that decreased 0.8 points (1.6%). The intervention effect size was 1.64 (3.28%) (P-value=0.01) when adjusted for month the worker started on-site, total length of time on-site, as well as individual characteristics (trade, title, age, and race/ethnicity). At intervention sites, workers noted increased levels of safety awareness, communication, and teamwork compared to control sites.                  Conclusions:                       B-SAFE led to many positive changes, including an improvement in safety climate, awareness, teambuilding, and communication. B-SAFE was a simple intervention that engaged workers through effective communication infrastructures and had a significant, positive effect on worksite safety."
42,Patient safety culture in the Primary Health Care,Revista brasileira de enfermagem,"Objective:                       To evaluate thepatient safety culturein thePrimary Health Care (PHC).                  Method:                       A cross-sectional study with 349 health professionals and PHC managers from a city of Rio Grande do Sul, Brazil. The tool used was Safety Attitudes Questionnaire Ambulatory Version. Data-independent double typing and descriptive and inferential statistical analysis were performed.                  Results:                       The total score varied between 3.4 and 8.4 with mean (7.0 ± 1.3), positive evaluation in the ""Patient Safety"" domain (8.2 ± 2.0). Working on the Family Health Strategy and having five to 12 years of work was significant for positive culture. The recommendations to improve the safety culture were: Implementation of protocols, training, communication improvement and resolvability.                  Conclusion:                       The patient safety culture prevailed. Establishing a constructive safety culture with safe behaviors represents factors for improving patient safety in Primary Care settings."
43,Health Behaviours in Scaffold Use Risk Assessment Model - SURAM,Annals of agricultural and environmental medicine : AAEM,"Introduction:                       Problems concerning occupational safety and health are commonly found in the construction industry, including falling materials, tools or people from a height, stepping on objects, and injuries caused by hand tools. An important factor in occupational safety in the construction industry is the use of scaffolds. All scaffolds used in construction, renovation, repair (including isolating, painting and decorating) and demolition, should be erected, maintained and dismantledin accordance with safety procedures. Therefore, it is crucial to deal with the safety of scaffolds and risk assessment in the construction industry; thus, the way of undertaking the assessment and the liability of assessment seems to be essential for professionals. However, it has been found that those professionals are prone to rely heavily on their own experience and knowledge in decision-making regarding risk assessment.                  Material and methods:                       The Scaffold Use Risk Assessment Model (SURAM) has been developed for assessing risk levels at various stages of the construction process in various work trades. The SURAM is the result of a research project carried out at 60 construction sites in Poland and Portugal where 504 observations have been completed including both harmful physical and chemical factors, stress level, workers' habits, as well as a hundreds ex-post reconstruction of construction accidents scenarios.                  Results:                       It was found that the workers' Health Behaviour Index (HBI) seems to be a more direct predictor for development of the unsafe chain of events leading to an accident than the workload, and concentration of harmful factors at the workplace.                  Conclusions:                       The developed HBI module of SURAM seems to be beneficial for predicting high-risk construction activities, and thus preventing the occurrence of accidents, based on a set of historical accident data."
44,Speeding in highway work zone: An Evaluation of methods of speed control,Accident; analysis and prevention,"Highway workers frequently work in close proximity of live traffic in highway work zones, traffic accidents therefore have devastating effects on worker safety. In order to reduce the potential for such accidents, methods involving use of advisory signs and police presence have been used to mitigate accident risks and improve safety for highway workers. This research evaluates the magnitude of the speeding problem in highway work zones and the effects of four levels of police presence on improving work zone safety. Speed data were collected in six different work zone locations in northern and southern California and used to determine the magnitude and nature of speeding problem in highway work zones. In addition data were collected over 11 test-days in four work zones with four levels of police presence: radar speed display with police decal and lighting, passive use of a police vehicle with radar speed display, passive use of a police vehicle without radar speed display, and active police speed enforcement near work zones. This paper analyzes this data using statistical methods to evaluate the effectiveness of these different methods of speed control on the safety of the work zone. Four Measures of Effectiveness (MOE) were used in this evaluation consisting of average speed reduction, speed variance, 85th percentile speed, and proportion of high speed vehicles. The results indicate that all levels of police presence provided statistically significant improvements in one or more of the MOEs."
45,Leadership skills for strengthening jobsite safety climate,Journal of safety research,"Introduction:                       Construction foremen may lack the leadership skills needed to create a strong jobsite safety climate. Many construction companies address this by sending their lead workers to the OSHA 30-h course; however the course does not include a leadership training module. This article describes the development and pilot testing of such a module and evaluation surveys designed to address this training gap.                  Methods:                       A 17-member curriculum development team, numerous subject matter experts, and an instructional design company helped us develop a comprehensive set of teaching resources and a set of survey instruments for evaluating the materials' effectiveness on improving safety leadership and safety climate. All materials and surveys were pilot tested with representative members of the target population.                  Results:                       Pilot surveys showed high reliability and data collected on the resulting Foundations for Safety Leadership (FSL) module indicated that the majority of foremen thought the training was helpful or valuable, particularly the discussion questions. The majority said they intended to use the skills on the jobsite. With the exception of the role-play activities, the trainers rated highly all other components, especially the videos and discussion questions. Modifications were made to the training materials and surveys based on pilot test findings. The most important result of the development and pilot testing efforts is that the OSHA Training Institute (OTI) included the FSL as an elective in the OSHA 30-h course.                  Conclusions:                       The FSL module fills a needed skills gap by providing safety leadership training to all foremen who might otherwise not have access to it through their company or union. The continued success of the FSL training will be ensured by dissemination via the OSHA 30-h course, an established nationwide safety training program. Practical applications: The FSL training module has already been widely accepted by the construction industry as a useful approach for providing construction foremen/See new abstract lead workers with the knowledge and skills they need to become more effective jobsite safety leaders."
46,"Safety, incentives, and the reporting of work-related injuries among union carpenters: ""you're pretty much screwed if you get hurt at work""",American journal of industrial medicine,"Background:                       In the high-risk construction industry little is known about the prevalence or effects of programs offering rewards for workers and/or their supervisors for improved safety records or those that punish workers in some way for injury.                  Methods:                       We conducted an anonymous survey of 1,020 carpenter apprentices in three union training programs to document prevalence of their exposure to such efforts. We explored associations between perceptions of the reporting of work-related injury and elements of these programs.                  Results:                       Fifty-eight percent (58%; n = 592) reported some safety incentive or negative consequence of work-related injuries on their current jobsite. Reporting of work-related injuries was 50% less prevalent when workers were disciplined for injury experiences. Otherwise, we saw minimal evidence of association between injury reporting practices and safety incentive programs. However, considerable evidence of fear of reprisal for reporting injuries was revealed. Less than half (46.4%) reported that work-related injuries were reported in their current workplace all or most of the time; over 30% said they were almost never or rarely reported.                  Conclusions:                       There are multiple layers of disincentives to the reporting of work-related injuries that hamper understanding of risk and pose threats to workplace safety and productivity. These pressures do not arise in a vacuum and are likely influenced by a host of contextual factors. Efforts that help us understand variation across jobsites and time could be enlightening; such inquiries may require mixed methodologies and should be framed with consideration for the upper tiers of the public health hierarchy of hazard control."
47,How do organizational practices relate to perceived system safety effectiveness? Perceptions of safety climate and co-worker commitment to safety as workplace safety signals,Journal of safety research,"Introduction:                       Integrating safety climate research with signaling theory, we propose that individual perceptions of safety climate signal the importance of safety in the organization. Specifically, we expect that three work-related organizational practices (training effectiveness, procedure effectiveness, and work pressure) relate to the broader risk control system in the workplace via individual perceptions of safety climate as a broad management signal. Further, we expect this broad management signal interacts with a local environmental signal (co-worker commitment to safety) to amplify or diminish perceived system safety effectiveness.                  Method:                       In a field study of oil and gas workers (N = 219; Study 1), we used mediation modeling to determine the relationships between work-related organizational practices, perceived safety climate, and perceived safety system effectiveness. In a field study of railway construction workers (N = 131; Study 2), we used moderated mediation modeling to explore the conditional role of co-worker commitment to safety.                  Results:                       We found that training effectiveness, procedure effectiveness, and work pressure predicted perceived system safety effectiveness indirectly via perceived safety climate (Studies 1 and 2) and that these indirect paths are influenced by co-worker commitment to safety (Study 2).                  Conclusions:                       Findings suggest that perceived safety climate is driven in part by work practices, and that perceived safety climate (from managers) and co-worker commitment to safety (from the local environment) interact to shape workplace safety system effectiveness. Practical applications: The insight that training, procedures, and work pressure are meaningful predictors of perceived safety climate as a signal suggests that organizations should be cognizant of the quality of work-related practices for safety. The insight we offer on the competing versus complimentary nature of managerial safety signals (perceived safety climate) and co-worker safety signals (co-worker commitment to safety) could also be used by safety personnel to develop safety interventions directed in both areas."
48,Evaluating effectiveness of an integrated return-to-work and vocational rehabilitation program on work disability duration in the construction sector,"Scandinavian journal of work, environment & health","Objective:                       The aim of this study was to investigate whether an integrated return-to-work (RTW) and vocational rehabilitation (VR) program - the Work Reintegration (WR) program - was associated with reduced work disability duration in the construction sector in Ontario, Canada.                  Methods:                       Workers' compensation data from the Ontario Workplace Safety and Insurance Board were extracted for lost-time construction worker claims following work-related injuries between 2009 and 2015. Claims receiving referrals to RTW and VR specialists (treatments) were matched with claims receiving no referrals (controls) during the periods before and after the WR program introduction. Multivariable difference-in-differences linear and quantile regression models were used to examine differences in cumulative disability days paid during two-years post-injury between treatment and control groups before and after the program change and the difference in these differences, overall, and at different disability distribution percentiles.                  Results:                       The WR program introduction was associated with reductions in cumulative disability days paid for all claims but most notably among longer duration claims referred to RTW specialists (reduction of 274 days at the 90th percentile in the disability distribution) and shorter duration claims referred to VR specialists (reductions of 255 and 214 days at the 25th and 50th percentiles in the disability distribution, respectively).                  Conclusions:                       The WR program introduction was effective in reducing cumulative disability days paid for construction worker claims but the effects varied at different percentiles in the disability distribution, as well as by specialist referral. The findings highlight the benefits of better integrated RTW and VR services to injured workers in the construction sector."
49,A hybrid simulation approach for integrating safety behavior into construction planning: An earthmoving case study,Accident; analysis and prevention,"One of the key challenges in improving construction safety and health is the management of safety behavior. From a system point of view, workers work unsafely due to system level issues such as poor safety culture, excessive production pressure, inadequate allocation of resources and time and lack of training. These systemic issues should be eradicated or minimized during planning. However, there is a lack of detailed planning tools to help managers assess the impact of their upstream decisions on worker safety behavior. Even though simulation had been used in construction planning, the review conducted in this study showed that construction safety management research had not been exploiting the potential of simulation techniques. Thus, a hybrid simulation framework is proposed to facilitate integration of safety management considerations into construction activity simulation. The hybrid framework consists of discrete event simulation (DES) as the core, but heterogeneous, interactive and intelligent (able to make decisions) agents replace traditional entities and resources. In addition, some of the cognitive processes and physiological aspects of agents are captured using system dynamics (SD) approach. The combination of DES, agent-based simulation (ABS) and SD allows a more ""natural"" representation of the complex dynamics in construction activities. The proposed hybrid framework was demonstrated using a hypothetical case study. In addition, due to the lack of application of factorial experiment approach in safety management simulation, the case study demonstrated sensitivity analysis and factorial experiment to guide future research."
50,The Construction and Effect Analysis of Nursing Safety Quality Management Based on Data Mining,Computational intelligence and neuroscience,"Data mining belongs to knowledge discovery, which is the process of revealing hidden, unknown, and valuable information from a large amount of fuzzy application data. The potential information revealed by data mining can help decision-makers adjust market strategies and reduce market risks. The information mined can be the discovery of a particular study and little known, which must be based on the principle of truth. Nursing safety means that during nursing work, the nursing staff must strictly follow the nursing system and operating procedures, accurately execute doctor's orders, implement nursing plans, and ensure that patients get physical and mental safety during treatment and recovery. This paper aims to explore the construction of nursing safety quality management system and its effect analysis based on data mining. It is hoped that improvements in hospital nursing processes will provide better nursing services for patients using data mining techniques. This paper uses the FP algorithm to mine the data set and generates frequent itemsets, proposes and implements the association rule mining algorithm, and obtains the association rules with practical reference value. This article analyzes the current status and existing problems of nursing management, and puts forward some problems existing in the current nursing management staff's own quality, nursing quality system standards, and nursing management system. The experimental results in this article show that there are 42 cases of poor nursing due to lack of basic medical knowledge, accounting for 52%; there are 12 cases of poor nursing due to their own diseases, accounting for 15%; there were 7 cases of poor nursing due to lack of communication, accounting for 9%; there were 15 cases of poor nursing caused by unreasonable use of restraint devices, accounting for 19%. From these data, it can be seen that patients need to have basic medical knowledge and act in strict accordance with doctors' orders. Family members also need to accompany the patients more and cooperate with all parties in order to maximize the effectiveness of care."
